https://www.ctcrash.uconn.edu/QueryTool2.action?qid=182359
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"1120523","1","1","Vehicle in Operation","2","Toyota","2010","2010","Scion Xd","Red","E","Eastbound","false","22","Motor Vehicle In Motion","10","Entering Traffic Lane","0","None","88","Not Applicable","35","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","4","3","Curve Right","4","Downhill","9","Sector 9 (West) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","10","Entering Traffic Lane","0","None","JTKKU4B46A1002344","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Thomaston","CT","","06787","","false","SkyTop Collision","false","false","Middle Street","false","CT","false","false","1","Sentinel Insurance Company Limited","","","","","","","","","","","","","","","","","","","","2024-02-01","","","",""
"1120523","2","1","Vehicle in Operation","2","Chevrolet","2002","2002","Cavalier","White","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","35","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","4","1","Straight","4","Downhill","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","0","None","1G1JC124X27136706","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Bristol","CT","","06010","","false","Automotive Plus","false","false","Middle Street","false","CT","false","false","1","Economy Fire   Casualty Insurance","","","","","","","","","","","","","","","","","","","","2024-02-01","","","",""
"1120633","1","1","Vehicle in Operation","1","Toyota","2004","2004","Camry Le/xle","Silver Or Aluminum","S","Southbound","","40","Tree (standing)","1","Straight Ahead","0","None","88","Not Applicable","25","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","0","None","4T1BE32K34U889106","1","No Control Device","88","Not Applicable","9","Ran Off Roadway Left","40","Tree (standing)","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Milford","CT","UnitedStates","06460","false","false","Bruneaus","false","false","Old Gate Ln","false","CT","false","false","1","No Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1122370","1","1","Vehicle in Operation","1","Honda","2017","2017","Civic LX","Gray","N","Northbound","false","22","Motor Vehicle In Motion","99","Unknown","99","Unknown","88","Not Applicable","65","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","2","1","Straight","2","Uphill","6","Sector 6 (South) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","99","Unknown","99","Unknown","SHHFK7H24HU424750","8","Warning Sign","2","Yes","22","Motor Vehicle In Motion","8","Ran Off Roadway Right","34","Ditch","88","Not Applicable","1","No Special Function","88","Not applicable","","","North Franklin","CT","","06254","true","false","Mal's / To Troop E","false","false","I-95","false","CT","false","false","88","USAA","","","","","","","","","","","","","","","","","","","","","","","",""
"1122370","2","1","Vehicle in Operation","1","TOYOTA","2007","2007","TUNDRA","RED","N","Northbound","false","22","Motor Vehicle In Motion","13","Stopped in Traffic","99","Unknown","88","Not Applicable","65","2","Towed But not Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","2","1","Straight","2","Uphill","7","Sector 7 (South by SouthWest) in the 12-point Clock Diagram","3","Functional Damage","5","Pick Up","13","Stopped in Traffic","99","Unknown","5TBBV54127S487616","8","Warning Sign","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Westerly","RI","","02891","true","false","Mal's / To Troop E","false","false","I-95 Northbound","false","RI","false","false","88","AMICA","","","","","","","","","","","","","","","","","","","","2024-02-01","","","",""
"1122370","3","1","Vehicle in Operation","1","MAZDA","2023","2023","CX-5","GRAY","N","Northbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","99","Unknown","88","Not Applicable","65","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","2","1","Straight","2","Uphill","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","JM3KFBCM3P0211745","8","Warning Sign","2","Yes","22","Motor Vehicle In Motion","22","Motor Vehicle In Motion","1","Overturn/Rollover","88","Not Applicable","1","No Special Function","88","Not applicable","","","East Providence","RI","","02914","","false","Seaport Auto / To Troop E","false","false","I-95 Northbound","false","RI","false","false","88","PROGRESSIVE","","","","","","","","","","","","","","","","","","","","","","","",""
"1124976","1","1","Vehicle in Operation","1","Nissan","2018","2018","Rogue S","White","S","Southbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","25","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","KNMAT2MV8JP615885","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Trumbull","CT","","06611","","true","Anthony's Towing, 468 River Road, Shelton, CT","false","false","Howe Avenue","false","CT","false","false","88","State Farm","","","","","","","","","","","","","","","","","","","","2024-12-31","","","",""
"1124976","2","2","Parked Vehicle","0","Mercedes-benz","2014","2014","Ml350","Black","S","Southbound","","17","Pedestrian","12","Parked","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","8","Sector 8 (SouthWest) in the 12-point Clock Diagram","2","Minor Damage","2","(Sport) Utility Vehicle","12","Parked","0","None","4JGDA5HB6EA397986","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Shelton","CT","","06484","","false","N/A","false","false","Howe Ave","true","CT","false","false","88","Progressive Casualty Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1124976","3","2","Parked Vehicle","0","Ford","2012","2012","F350 Super Duty","Brown","S","Southbound","","17","Pedestrian","12","Parked","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","7","Sector 7 (South by SouthWest) in the 12-point Clock Diagram","2","Minor Damage","5","Pick Up","12","Parked","0","None","1FT8X3BT9CEB71795","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Orange","CT","","06477","","false","N/A","false","false","Howe Ave","true","CT","false","false","88","Allmerica Financial Benefit Ins. Co.","","","","","","","","","","","","","","","","","","","","","","","",""
"1126594","1","1","Vehicle in Operation","1","Ford","1983","1983","F100","Red","E","Eastbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","99","Unknown","88","Not Applicable","40","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","4","Downhill","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","4","Disabling Damage","5","Pick Up","1","Straight Ahead","99","Unknown","2FTCF10Y7DCB04149","1","No Control Device","88","Not Applicable","11","Cross Centerline","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Brookfield","CT","","06804","true","false","Modzelewski's","false","false","Berkshire Road","false","CT","true","false","88","Essentia Insurance Company","","","","","","","","","","","","","","","","","","","","","","","",""
