https://www.ctcrash.uconn.edu/QueryTool2.action?qid=182420
"CrashID","VehicleID","Trailer ID","Trailer Information Same As Carrier","Trailer Information Same As Power Unit","Trailer Information Same As Other Trailer","Trailer Owner City","Trailer Owner State","Trailer Owner Country","Trailer Owner Postal Code","Trailer License Plate Issuing State Code","Trailer License Plate Was Expired","Trailer License Plate Was Missing","Trailer Vehicle Identification Number"
"1120523","1","1","false","false","false","","","","","","","",""
"1120523","1","2","false","false","false","","","","","","","",""
"1120523","2","1","false","false","false","","","","","","","",""
"1120523","2","2","false","false","false","","","","","","","",""
"1122370","1","1","false","false","false","","","","","","","",""
"1122370","1","2","false","false","false","","","","","","","",""
"1122370","2","1","false","false","false","","","","","","","",""
"1122370","2","2","false","false","false","","","","","","","",""
"1122370","3","1","false","false","false","","","","","","","",""
"1122370","3","2","false","false","false","","","","","","","",""
"1124976","1","1","false","false","false","","","","","","","",""
"1124976","1","2","false","false","false","","","","","","","",""
"1124976","2","1","false","false","false","","","","","","","",""
"1124976","2","2","false","false","false","","","","","","","",""
"1124976","3","1","false","false","false","","","","","","","",""
"1124976","3","2","false","false","false","","","","","","","",""
"1126594","1","1","false","false","false","","","","","","","",""
"1126594","1","2","false","false","false","","","","","","","",""
"1126594","2","1","false","false","false","","","","","","","",""
"1126594","2","2","false","false","false","","","","","","","",""
"1127377","1","1","false","false","false","","","","","","","",""
"1127377","1","2","false","false","false","","","","","","","",""
"1127377","2","1","false","false","false","","","","","","","",""
"1127377","2","2","false","false","false","","","","","","","",""
"1130292","1","1","false","false","false","","","","","","","",""
"1130292","1","2","false","false","false","","","","","","","",""
"1132188","1","1","false","false","false","","","","","","","",""
"1132188","1","2","false","false","false","","","","","","","",""
"1132188","2","1","false","false","false","","","","","","","",""
"1132188","2","2","false","false","false","","","","","","","",""
"1132219","1","1","false","false","false","","","","","","","",""
"1132219","1","2","false","false","false","","","","","","","",""
"1132260","1","1","false","false","false","","","","","","","",""
"1132260","1","2","false","false","false","","","","","","","",""
"1132260","2","1","false","false","false","","","","","","","",""
"1132260","2","2","false","false","false","","","","","","","",""
"1133272","1","1","false","false","false","","","","","","","",""
"1133272","1","2","false","false","false","","","","","","","",""
"1133914","1","1","true","false","false","Moon township","38","UnitedStates","15108    ","","","",""
"1133914","1","2","false","false","false","","","UnitedStates"," ","","","",""
"1133914","2","1","false","false","false","","","","","","","",""
"1133914","2","2","false","false","false","","","","","","","",""
"1133914","3","1","false","false","false","","","","","","","",""
"1133914","3","2","false","false","false","","","","","","","",""
"1134215","1","1","true","false","false","THOMASVILLE","33","","27360","42","","","1JJV281D4EL802435"
"1134215","1","2","false","false","false","THOMASVILLE","33","","27360","42","","","1JJV281D1NL329447"
"1134215","2","1","false","false","false","","","","","","","",""
"1134215","2","2","false","false","false","","","","","","","",""
"1134215","3","1","false","false","false","","","","","","","",""
"1134215","3","2","false","false","false","","","","","","","",""
"1134709","1","1","false","false","false","","","","","","","",""
"1134709","1","2","false","false","false","","","","","","","",""
"1134709","2","1","false","false","false","","","","","","","",""
"1134709","2","2","false","false","false","","","","","","","",""
"1134709","3","1","false","false","false","","","","","","","",""
"1134709","3","2","false","false","false","","","","","","","",""
"1135638","1","1","false","false","false","","","","","","","",""
"1135638","1","2","false","false","false","","","","","","","",""
"1135638","2","1","false","false","false","","","","","","","",""
"1135638","2","2","false","false","false","","","","","","","",""
"1136502","1","1","false","false","false","","","","","","","",""
"1136502","1","2","false","false","false","","","","","","","",""
"1136502","2","1","false","false","false","","","","","","","",""
"1136502","2","2","false","false","false","","","","","","","",""
"1136503","1","1","false","false","false","","","","","","","",""
"1136503","1","2","false","false","false","","","","","","","",""
"1137902","1","1","false","false","false","","","","","","","",""
"1137902","1","2","false","false","false","","","","","","","",""
"1138036","1","1","false","false","false","","","","","","","",""
"1138036","1","2","false","false","false","","","","","","","",""
"1138743","1","1","false","false","false","","","","","","","",""
"1138743","1","2","false","false","false","","","","","","","",""
"1139520","1","1","false","false","false","","","","","","","",""
"1139520","1","2","false","false","false","","","","","","","",""
"1139981","1","1","false","false","false","","","","","","","",""
"1139981","1","2","false","false","false","","","","","","","",""
"1140060","1","1","true","false","false","LOWELL","3 ","UnitedStates","72745","14","","","57VAA5322M1001677"
"1140060","1","2","false","false","false","","","","","","","",""
"1140060","2","1","false","false","false","","","","","","","",""
"1140060","2","2","false","false","false","","","","","","","",""
"1141339","1","1","false","false","false","","","","","","","",""
"1141339","1","2","false","false","false","","","","","","","",""
"1142042","1","1","false","false","false","","","","","","","",""
"1142042","1","2","false","false","false","","","","","","","",""
"1144826","1","1","false","false","false","","","","","","","",""
"1144826","1","2","false","false","false","","","","","","","",""
"1144826","2","1","false","false","false","","","","","","","",""
"1144826","2","2","false","false","false","","","","","","","",""
"1145115","1","1","false","false","false","","","","","","","",""
"1145115","1","2","false","false","false","","","","","","","",""
"1146362","1","1","false","false","false","","","","","","","",""
"1146362","1","2","false","false","false","","","","","","","",""
"1146362","2","1","false","false","false","","","","","","","",""
"1146362","2","2","false","false","false","","","","","","","",""
"1146362","3","1","false","false","false","","","","","","","",""
"1146362","3","2","false","false","false","","","","","","","",""
"1146362","4","1","false","false","false","","","","","","","",""
"1146362","4","2","false","false","false","","","","","","","",""
"1146756","1","1","false","false","false","Farmington","32","UnitedStates","14425","19","","","1JJV532W15L925491"
"1146756","1","2","false","false","false","","","","","","","",""
"1146756","2","1","false","false","false","Hartford","6 ","UnitedStates","06114","6 ","","","1UYVS2484K6680224"
"1146756","2","2","false","false","false","","","","","","","",""
