CrashId,Fatal Case Status,Fatal Case Status Text Format,CrashId,CrashId,Latitude,Longitude,DOT Case Number,Town Name,Town Number,Town Number,Town Number Text Format,Date Of Crash,Year,Month,Month Text Format,Day,Day of the Week,Day of the Week Text Format,Time of Crash,Hour of the Day,Case Identifier,Crash Severity,Crash Severity Text Format,Most Severe Injury,Most Severe Injury Text Format,Number Of Motor Vehicles,Number Of Non-Motorist,Number Of Witnesses,Route Class,Route Class Text Format,Milemarker,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,Distance From Nearest Landmark,Unit Of Measure From Nearest Landmark,Direction From Nearest Landmark,Latitude,Longitude,First Harmful Event,First Harmful Event Text Format,Manner of Crash / Collision Impact,Manner of Crash / Collision Impact Text Format,Location of First Harmful Event,Location of First Harmful Event Text Format,Weather Condition,Weather Condition Text Format,Weather 2,Weather 2 Text Format,Light Condition,Light Condition Text Format,Road Surface Condition,Road Surface Condition Text Format,"Contributing Circumstances, Environment","Contributing Circumstances, Environment Text Format",Environment 2,Environment 2 Text Format,Environment 3,Environment 3 Text Format,"Contributing Circumstances, Road","Contributing Circumstances, Road Text Format",Road 2,Road 2 Text Format,Road 3,Road 3 Text Format,Crash Specific Location,Crash Specific Location Text Format,Type of Intersection,Type of Intersection Text Format,School Bus Related,School Bus Related Text Format,Work Zone Related,Work Zone Related Text Format,Location Of Crash Relative To Work Zone,Location Of Crash Relative To Work Zone Text Format,Type of Work Zone,Type of Work Zone Text Format,Worker Presence,Worker Presence Text Format,Law Enforcement Presence,Law Enforcement Presence Text Format,Were Vehicles Moved Prior To Police Arrival,Trafficway Ownership,Trafficway Ownership Text Format,Trafficway Class,Trafficway Class Text Format,Police Agency,Police Agency Text Format,Badge Number,Approval Date,Police Case Status,Police Case Status Text Format,Crash Report Submission Date,Related Case Identifiers,No. of Through Lanes (Log Dir.),Average Daily Traffic,Functional Classification,Functional Classification Text Format,Rural or Urban,Rural or Urban Text Format
1120523,1,Complete,1120523,1120523,41.65608397,-72.91421429,924017,Bristol,17,17,Bristol,1/5/24,2024,1,January,5,6,Friday,14:15:00,14,2400000610,K,Fatal (Kill),K,Fatal Injury (K),2,0,0,3,State,3.41,229,229-N,229-N,,CROSS ST,257,Feet,S,41.65608397,-72.91421429,14,Motor Vehicle in Operation,3,Angle,1,On Roadway,1,Clear,88,Not Applicable,1,Daylight,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,8,Driveway Access,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0001700,Bristol PD,P0236,26:25.0,C,Closed,59:24.0,,4,19200,3,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2,Urban
1120633,1,Complete,1120633,1120633,41.22891,-73.031433,924004,Milford,84,84,Milford,1/2/24,2024,1,January,2,3,Tuesday,13:54:00,13,2024000044,K,Fatal (Kill),K,Fatal Injury (K),1,0,1,4,Local,0.29,0472,OLD GATE LA,OLD GATE LA,,NEW HAVEN AVE,1470,Feet,N,41.22891,-73.031433,32,Tree (standing),88,Not Applicable,1,On Roadway,1,Clear,88,Not Applicable,1,Daylight,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0008400,Milford PD,100360,02:20.0,C,Closed,00:04.0,2024000046,2,16900,4,MINOR ARTERIAL - NEW HPMS,2,Urban
1122370,1,Complete,1122370,1122370,41.381282,-71.898517,924008,Stonington,137,137,Stonington,1/11/24,2024,1,January,11,5,Thursday,11:53:00,11,2400014389,K,Fatal (Kill),K,Fatal Injury (K),3,0,0,1,Interstate,104.6,95,95-N,95-N,,Exit 91,6,TenthsofMile,N,41.381282,-71.898517,14,Motor Vehicle in Operation,1,Front to rear,1,On Roadway,1,Clear,88,Not Applicable,1,Daylight,1,Dry,99,Unknown,88,Not Applicable,88,Not Applicable,99,Unknown,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CTCSP0000,State Police,0691,54:40.0,O,Open,55:44.0,2400014528,4,41300,1,INTERSTATE - NEW HPMS,2,Urban
1124976,1,Complete,1124976,1124976,41.319335,-73.095853,924016,Shelton,126,126,Shelton,1/6/24,2024,1,January,6,7,Saturday,0:13:00,0,2400000457,K,Fatal (Kill),K,Fatal Injury (K),3,1,0,3,State,9.4,110,110-N,110-N,,Beard Street,100,Feet,N,41.319335,-73.095853,9,Pedestrian,88,Not Applicable,1,On Roadway,1,Clear,88,Not Applicable,4,Dark-Lighted,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0012600,Shelton PD,10746,56:29.0,O,Open,51:51.0,,2,10800,4,MINOR ARTERIAL - NEW HPMS,2,Urban
1126594,1,Complete,1126594,1126594,41.389921,-73.209324,924012,Newtown,97,97,Newtown,1/20/24,2024,1,January,20,7,Saturday,10:30:00,10,2400000884,K,Fatal (Kill),K,Fatal Injury (K),2,0,2,3,State,4.37,34,34-E,34-E,,Nighthawk Lane,60,Feet,W,41.389921,-73.209324,14,Motor Vehicle in Operation,3,Angle,1,On Roadway,1,Clear,88,Not Applicable,1,Daylight,2,Wet,0,None,88,Not Applicable,88,Not Applicable,3,Backup Due to Regular Congestion,88,Not Applicable,88,Not Applicable,3,Intersection-Related,3,T-Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0000097,Newtown PD,110,58:06.0,O,Open,21:35.0,,2,10800,3,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2,Urban
1126931,1,Complete,1126931,1126931,41.314258,-72.874588,924019,New Haven,93,93,New Haven,1/27/24,2024,1,January,27,7,Saturday,20:34:00,20,24003906,K,Fatal (Kill),K,Fatal Injury (K),2,0,0,4,Local,0.23,0287,HEMINGWAY ST,HEMINGWAY ST,,RUSSELL ST,25,Feet,E,41.314258,-72.874588,14,Motor Vehicle in Operation,2,Front to front,1,On Roadway,1,Clear,88,Not Applicable,4,Dark-Lighted,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,3,Intersection-Related,3,T-Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0009300,New Haven PD,44176,59:58.0,O,Open,01:47.0,,,,,,,
1126932,1,Complete,1126932,1126932,41.2909,-72.94147,924020,New Haven,93,93,New Haven,1/28/24,2024,1,January,28,1,Sunday,1:28:00,1,24003940,K,Fatal (Kill),K,Fatal Injury (K),1,1,1,3,State,0.7,10,10-N,10-N,WASHINGTON AV NO 1,,,,,41.2909,-72.94147,9,Pedestrian,88,Not Applicable,1,On Roadway,1,Clear,88,Not Applicable,4,Dark-Lighted,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,2,Intersection,2,Four-Way Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0009300,New Haven PD,44952,29:09.0,C,Closed,01:49.0,,4,20200,3,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2,Urban
1127377,1,Complete,1127377,1127377,41.865446,-72.656005,924022,Windsor,164,164,Windsor,1/28/24,2024,1,January,28,1,Sunday,10:30:00,10,2400002877,K,Fatal (Kill),K,Fatal Injury (K),2,0,0,3,State,1.09,75,75-N,75-N,,Tiffany Drive,40,Feet,N,41.865446,-72.656005,14,Motor Vehicle in Operation,3,Angle,1,On Roadway,7,Snow,88,Not Applicable,1,Daylight,3,Snow,1,Weather Conditions,88,Not Applicable,88,Not Applicable,5,"Road Surface Condition (wet, icy, snow, slush, etc.)",88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0016400,Windsor PD,163,10:39.0,O,Open,40:43.0,,2,6800,3,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2,Urban
1130292,1,Complete,1130292,1130292,41.103945,-73.439105,924028,Norwalk,103,103,Norwalk,2/4/24,2024,2,February,4,1,Sunday,8:19:00,8,2400007088,K,Fatal (Kill),K,Fatal Injury (K),1,0,0,4,Local,0.03,986,WEST CEDAR ST NO 2,WEST CEDAR ST NO 2,,SCRIBNER AVE,150,Feet,S,41.103945,-73.439105,33,Utility Pole/Light Support,88,Not Applicable,3,Median,1,Clear,88,Not Applicable,1,Daylight,1,Dry,99,Unknown,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0010300,Norwalk PD,E007,20:22.0,O,Open,28:41.0,,2,3800,7,LOCAL - NEW HPMS,2,Urban
1132188,1,Complete,1132188,1132188,41.521431,-72.897014,924033,Cheshire,25,25,Cheshire,2/12/24,2024,2,February,12,2,Monday,6:26:00,6,2400005228,K,Fatal (Kill),K,Fatal Injury (K),2,0,1,3,State,18.69,10,10-N,10-N,,STONY HILL RD,352,Feet,S,41.521431,-72.897014,14,Motor Vehicle in Operation,2,Front to front,1,On Roadway,1,Clear,88,Not Applicable,1,Daylight,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,2,"Yes, School Bus Directly Involved",1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0002500,Cheshire PD,94,45:35.0,O,Open,27:09.0,,2,15300,3,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2,Urban
