CrashId,VehicleId,PersonId,Age,Gender,Gender Text Format,State,Postal Code,Person Type,Person Type Text Format,Injury Status,Injury Status Text Format,Condition at Time of Crash,Condition at Time of Crash Text Format,Condition at Time of Crash2,Condition at Time of Crash2 Text Format,Action Taken by Officer,Action Taken by Officer Text Format,Alcohol Test Status,Alcohol Test Status Text Format,Type Of Alcohol Test,Type Of Alcohol Test Text Format,Drug Test Status,Drug Test Status Text Format,Type Of Drig Test,Type Of Drig Test Text Format,Ejection Status,Ejection Status Text Format,Restraint System,Restraint System Text Format,Helmet Use,Helmet Use Text Format,Air Bag Status,Air Bag Status Text Format,Speeding Related,Speeding Related Text Format,Driver Actions 1,Driver Actions 1 Text Format,Driver Actions 2,Driver Actions 2 Text Format,Driver Actions 3,Driver Actions 3 Text Format,Driver Actions 4,Driver Actions 4 Text Format,Driver Distracted By,Driver Distracted By Text Format,Roadway On Which Nonmotorist Was Traveling/Located,Direction nonmotorist was traveling,Direction Unknown,Striking Motor Vehicle ID,Bicycle ID,Non-Motorist Not In Roadway,Actions or Circumstances Prior to Crash,Actions or Circumstances Prior to Crash Text Format,To or From School,To or From School Text Format,Actions or Circumstances At Time Of Crash,Actions or Circumstances At Time Of Crash Text Format,Actions or Circumstances At Time Of Crash2,Actions or Circumstances At Time Of Crash2 Text Format,Location At Time Of Crash,Location At Time Of Crash Text Format,Safety Equipment,Safety Equipment Text Format,Safety Equipment2,Safety Equipment2 Text Format,Non-motorist Distracted By,Non-motorist Distracted By Text Format,Seating Position,Seating Position Text Format,Seating Position for Bus,City,Country,Driver License Jurisdiction,Driver License Jurisdiction Text Format,Drivers License Issued By,Drivers License Class,Commercial License Class,Commercial License Class Text Format,Transported to First Medical Facility By,Transported to First Medical Facility By Text Format,Name of the EMS agency,Name of the Intended Receiving Facility
1120523,1.0,3,69.0,1,Male,CT,06787,2,Passenger,K,Fatal Injury (K),,,,,,,1.0,Test Not Given,88.0,Not Applicable,1.0,Test Not Given,88.0,Not Applicable,1.0,Not Ejected,1.0,Shoulder and Lap Belt Used,88.0,Not Applicable,2.0,Deployed-Front,,,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,13.0,"First Row, Right Seat",,Thomaston,,2.0,State,CT,,,,1.0,Not Transported,Bristol Hospital EMS,NEW BRITAIN
1120633,1.0,1,41.0,1,Male,CT,06460,1,Driver,K,Fatal Injury (K),6.0,Under the Influence of Medications/Drugs/Alcohol,6.0,Under the Influence of Medications/Drugs/Alcohol,4.0,Arrest/Summons,2.0,Test Refused,3.0,Breath,2.0,Test Refused,2.0,Urine,1.0,Not Ejected,1.0,Shoulder and Lap Belt Used,88.0,Not Applicable,2.0,Deployed-Front,1.0,No,2.0,Ran Off Roadway,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,1.0,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11.0,"First Row, Left Seat",,Milford,UnitedStates,2.0,State,CT,4.0,1.0,No,1.0,Not Transported,,
1122370,1.0,1,78.0,2,Female,CT,06254,1,Driver,K,Fatal Injury (K),2.0,Physically Impaired,88.0,Not Applicable,0.0,None taken,3.0,Test Given,1.0,Blood,3.0,Test Given,1.0,Blood,1.0,Not Ejected,1.0,Shoulder and Lap Belt Used,88.0,Not Applicable,6.0,Deployed-Combination,1.0,No,1.0,No Contributing Action,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,99.0,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11.0,"First Row, Left Seat",,North Franklin,,2.0,State,CT,4.0,1.0,No,3.0,EMS Ground,,L&M
1124976,,2,64.0,2,Female,CT,06484,3,Pedestrian,K,Fatal Injury (K),99.0,Unknown,88.0,Not Applicable,0.0,None taken,1.0,Test Not Given,88.0,Not Applicable,1.0,Test Not Given,88.0,Not Applicable,,,,,,,,,,,,,,,,,,,,,Howe Avenue,S,False,1.0,,False,1.0,Crossing Roadway,1.0,No,99.0,Unknown,,,5.0,Travel Lane-Other Location,0.0,None,,,99.0,Unknown if Distracted,,,,Shelton,,88.0,Not applicable,CT,,,,3.0,EMS Ground,Echo Hose Ambulance,BRIDGEPORT HOSPITAL
1126594,1.0,1,75.0,1,Male,CT,06804,1,Driver,K,Fatal Injury (K),97.0,Other,88.0,Not Applicable,0.0,None taken,1.0,Test Not Given,88.0,Not Applicable,1.0,Test Not Given,88.0,Not Applicable,1.0,Not Ejected,0.0,None Used-Motor Vehicle Occupant,88.0,Not Applicable,88.0,Not applicable,99.0,Unknown,12.0,Followed Too Closely,16.0,"Swerved or Avoided Due to Wind, Slippery Surface, Motor Vehicle, Object, Non-Motorist in Roadway, etc.",13.0,Failed to Keep in Proper Lane,88.0,Not Applicable,99.0,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11.0,"First Row, Left Seat",,Brookfield,,2.0,State,CT,1.0,,,3.0,EMS Ground,NVAC,DANBURY
1126931,1.0,1,49.0,1,Male,CT,06512,1,Driver,K,Fatal Injury (K),99.0,Unknown,,,0.0,None taken,1.0,Test Not Given,88.0,Not Applicable,1.0,Test Not Given,88.0,Not Applicable,1.0,Not Ejected,99.0,Unknown,88.0,Not Applicable,2.0,Deployed-Front,1.0,No,13.0,Failed to Keep in Proper Lane,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,99.0,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11.0,"First Row, Left Seat",,New Haven,UnitedStates,2.0,State,CT,4.0,1.0,No,3.0,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1126932,,2,70.0,1,Male,CT,,3,Pedestrian,K,Fatal Injury (K),97.0,Other,,,0.0,None taken,1.0,Test Not Given,88.0,Not Applicable,1.0,Test Not Given,88.0,Not Applicable,,,,,,,,,,,,,,,,,,,,,ELLA T GRASSO BLVD,,True,1.0,,False,99.0,Unknown,1.0,No,99.0,Unknown,88.0,Not Applicable,2.0,Intersection-Unmarked Crosswalk,99.0,Unknown,88.0,Not Applicable,99.0,Unknown if Distracted,,,,New Haven,UnitedStates,88.0,Not applicable,,,,,1.0,Not Transported,,
1127377,1.0,1,77.0,1,Male,CT,06120,1,Driver,K,Fatal Injury (K),97.0,Other,88.0,Not Applicable,0.0,None taken,1.0,Test Not Given,88.0,Not Applicable,1.0,Test Not Given,88.0,Not Applicable,1.0,Not Ejected,99.0,Unknown,88.0,Not Applicable,6.0,Deployed-Combination,99.0,Unknown,13.0,Failed to Keep in Proper Lane,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,99.0,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11.0,"First Row, Left Seat",,Hartford,,2.0,State,CT,4.0,1.0,No,3.0,EMS Ground,East Windsor,St. Francis
1130292,1.0,1,41.0,1,Male,CT,06854,1,Driver,K,Fatal Injury (K),99.0,Unknown,88.0,Not Applicable,0.0,None taken,3.0,Test Given,1.0,Blood,3.0,Test Given,1.0,Blood,1.0,Not Ejected,88.0,Not Applicable,1.0,No Helmet,88.0,Not applicable,99.0,Unknown,2.0,Ran Off Roadway,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,99.0,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11.0,"First Row, Left Seat",,Norwalk        ,,2.0,State,CT,0.0,1.0,No,3.0,EMS Ground,Norwalk EMS,Norwalk Hospital
1132188,1.0,1,52.0,1,Male,CT,06410,1,Driver,K,Fatal Injury (K),99.0,Unknown,88.0,Not Applicable,0.0,None taken,1.0,Test Not Given,88.0,Not Applicable,1.0,Test Not Given,88.0,Not Applicable,1.0,Not Ejected,1.0,Shoulder and Lap Belt Used,88.0,Not Applicable,3.0,Deployed-Side,99.0,Unknown,13.0,Failed to Keep in Proper Lane,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,99.0,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11.0,"First Row, Left Seat",,Cheshire,,2.0,State,CT,4.0,1.0,No,3.0,EMS Ground,Trinity,ST. MARY'S
